isolate_name,isolate_species,isolate_colDate,isolate_colLocation,isolate_sourceType,isolate_sourceName,profile_1,profile_2,profile_3
Isolate86,Species1,2019-12-20,NA,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate87,Species2,2019-09-22,NA,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate88,Species2,2019-12-17,NA,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate89,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate90,Species2,2019-09-02,NA,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate91,Species2,2019-04-28,NA,Others,NA,Sp2 NF,ResGeneB,NA
Isolate92,Species2,2019-11-20,NA,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate93,Species2,2019-09-24,NA,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate94,Species2,2019-09-28,NA,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate95,Species2,2019-04-29,NA,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate96,Species2,2019-05-01,NA,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate97,Species1,2018-03-28,NA,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate98,Species1,2018-08-05,NA,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate99,Species1,2019-08-16,NA,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate100,Species1,2018-01-27,NA,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate101,Species1,2019-12-17,NA,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate102,Species1,2020-01-12,NA,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate103,Species1,2019-11-20,NA,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate104,Species1,2019-11-12,NA,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate105,Species1,2019-12-20,NA,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate106,Species2,2019-09-22,NA,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate107,Species2,2019-12-17,NA,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate108,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate109,Species2,2019-09-02,NA,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate110,Species2,2019-04-28,NA,Others,NA,Sp2 NF,ResGeneB,NA
Isolate111,Species2,2019-11-20,NA,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate112,Species2,2019-09-24,NA,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate113,Species2,2019-09-28,NA,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate114,Species2,2019-04-29,NA,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate115,Species2,2019-05-01,NA,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate116,Species1,2018-03-28,NA,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate117,Species1,2018-08-05,NA,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate118,Species1,2019-08-16,NA,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate119,Species1,2018-01-27,NA,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate120,Species1,2019-12-17,NA,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate121,Species1,2020-01-12,NA,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate122,Species1,2019-11-20,NA,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate123,Species1,2019-11-12,NA,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate124,Species1,2019-12-20,NA,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate125,Species2,2019-09-22,NA,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate126,Species2,2019-12-17,NA,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate127,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate128,Species2,2019-09-02,NA,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate129,Species2,2019-04-28,NA,Others,NA,Sp2 NF,ResGeneB,NA
Isolate130,Species2,2019-11-20,NA,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate131,Species2,2019-09-24,NA,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate132,Species2,2019-09-28,NA,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate133,Species2,2019-04-29,NA,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate134,Species2,2019-05-01,NA,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate135,Species1,2018-03-28,NA,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate136,Species1,2018-08-05,NA,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate137,Species1,2019-08-16,Ward 4,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate138,Species1,2018-01-27,Ward 4,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate139,Species1,2019-12-17,Ward 4,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate140,Species1,2020-01-12,Ward 4,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate141,Species1,2019-11-20,Ward 4,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate142,Species1,2019-11-12,Ward 4,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate143,Species1,2019-12-20,Ward 4,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate144,Species2,2019-09-22,Ward 4,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate145,Species2,2019-12-17,Ward 4,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate146,Species2,2019-04-06,Ward 4,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate147,Species2,2019-09-02,Ward 4,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate148,Species2,2019-04-28,Ward 4,Others,NA,Sp2 NF,ResGeneB,NA
Isolate149,Species2,2019-11-20,Ward 4,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate150,Species2,2019-09-24,Ward 4,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate151,Species2,2019-09-28,Ward 4,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate152,Species2,2019-04-29,Ward 4,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate153,Species2,2019-05-01,Ward 4,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate154,Species1,2018-03-28,Ward 4,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate155,Species1,2018-08-05,Ward 4,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate156,Species1,2019-08-16,Ward 4,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate157,Species1,2018-01-27,Ward 4,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate158,Species1,2019-12-17,Ward 4,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate159,Species1,2020-01-12,Ward 4,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate160,Species1,2019-11-20,Ward 4,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate161,Species1,2019-11-12,Ward 4,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate162,Species1,2019-12-20,Ward 4,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate163,Species2,2019-09-22,Ward 4,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate164,Species2,2019-12-17,Ward 4,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate165,Species2,2019-04-06,Ward 4,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate166,Species2,2019-09-02,Ward 4,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate167,Species2,2019-04-28,Ward 4,Others,NA,Sp2 NF,ResGeneB,NA
Isolate168,Species2,2019-11-20,Ward 4,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate169,Species2,2019-09-24,Ward 4,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate170,Species2,2019-09-28,Ward 4,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate171,Species2,2019-04-29,Ward 4,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate172,Species2,2019-05-01,Ward 4,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate173,Species1,2018-03-28,Ward 4,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate174,Species1,2018-08-05,NA,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate175,Species1,2019-08-16,NA,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate176,Species1,2018-01-27,NA,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate177,Species1,2019-12-17,NA,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate178,Species1,2020-01-12,NA,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate179,Species1,2019-11-20,NA,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate180,Species1,2019-11-12,NA,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate181,Species1,2019-12-20,NA,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate182,Species2,2019-09-22,NA,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate183,Species2,2019-12-17,NA,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate184,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate185,Species2,2019-09-02,Ward 5,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate186,Species2,2019-04-28,Ward 5,Others,NA,Sp2 NF,ResGeneB,NA
Isolate187,Species2,2019-11-20,Ward 5,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate188,Species2,2019-09-24,Ward 5,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate189,Species2,2019-09-28,Ward 5,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate190,Species2,2019-04-29,Ward 5,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate191,Species2,2019-05-01,Ward 5,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate192,Species1,2018-03-28,Ward 5,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate193,Species1,2018-08-05,Ward 5,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate194,Species1,2019-08-16,Ward 5,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate195,Species1,2018-01-27,Ward 5,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate196,Species1,2019-12-17,Ward 5,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate197,Species1,2020-01-12,Ward 5,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate198,Species1,2019-11-20,Ward 5,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate199,Species1,2019-11-12,Ward 5,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate200,Species1,2019-12-20,Ward 5,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate201,Species2,2019-09-22,Ward 5,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate202,Species2,2019-12-17,Ward 5,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate203,Species2,2019-04-06,Ward 5,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate204,Species2,2019-09-02,Ward 5,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate205,Species2,2019-04-28,Ward 5,Others,NA,Sp2 NF,ResGeneB,NA
Isolate206,Species2,2019-11-20,Ward 5,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate207,Species2,2019-09-24,Ward 5,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate208,Species2,2019-09-28,Ward 5,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate209,Species2,2019-04-29,Ward 5,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate210,Species2,2019-05-01,Ward 5,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate211,Species1,2018-03-28,Ward 5,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate212,Species1,2018-08-05,Ward 5,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate213,Species1,2019-08-16,Ward 5,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate214,Species1,2018-01-27,Ward 5,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate215,Species1,2019-12-17,Ward 5,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate216,Species1,2020-01-12,Ward 5,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate217,Species1,2019-11-20,Ward 5,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate218,Species1,2019-11-12,Ward 5,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate219,Species1,2019-12-20,Ward 5,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate220,Species2,2019-09-22,Ward 5,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate221,Species2,2019-12-17,Ward 5,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate222,Species2,2019-04-06,Ward 5,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate223,Species2,2019-09-02,Ward 5,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate224,Species2,2019-04-28,Ward 5,Others,NA,Sp2 NF,ResGeneB,NA
Isolate225,Species2,2019-11-20,Ward 5,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate226,Species2,2019-09-24,Ward 5,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate227,Species2,2019-09-28,Ward 5,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate228,Species2,2019-04-29,Ward 5,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate229,Species2,2019-05-01,Ward 5,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate230,Species1,2018-03-28,Ward 5,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate231,Species1,2018-08-05,Ward 5,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate232,Species1,2019-08-16,Ward 5,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate233,Species1,2018-01-27,Ward 5,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate234,Species1,2019-12-17,Ward 5,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate235,Species1,2020-01-12,NA,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate236,Species1,2019-11-20,NA,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate237,Species1,2019-11-12,NA,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate238,Species1,2019-12-20,NA,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate239,Species2,2019-09-22,NA,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate240,Species2,2019-12-17,NA,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate241,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate242,Species2,2019-09-02,NA,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate243,Species2,2019-04-28,NA,Others,NA,Sp2 NF,ResGeneB,NA
Isolate244,Species2,2019-11-20,NA,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate245,Species2,2019-09-24,NA,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate246,Species2,2019-09-28,NA,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate247,Species2,2019-04-29,NA,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate248,Species2,2019-05-01,NA,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate249,Species1,2018-03-28,NA,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate250,Species1,2018-08-05,NA,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate251,Species1,2019-08-16,NA,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate252,Species1,2018-01-27,NA,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate253,Species1,2019-12-17,NA,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate254,Species1,2020-01-12,NA,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate255,Species1,2019-11-20,NA,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate256,Species1,2019-11-12,NA,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate257,Species1,2019-12-20,NA,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate258,Species2,2019-09-22,NA,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate259,Species2,2019-12-17,NA,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate260,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate261,Species2,2019-09-02,NA,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate262,Species2,2019-04-28,NA,Others,NA,Sp2 NF,ResGeneB,NA
Isolate263,Species2,2019-11-20,NA,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate264,Species2,2019-09-24,NA,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate265,Species2,2019-09-28,NA,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate266,Species2,2019-04-29,NA,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate267,Species2,2019-05-01,Ward 6,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate268,Species1,2018-03-28,Ward 6,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate269,Species1,2018-08-05,Ward 6,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate270,Species1,2019-08-16,Ward 6,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate271,Species1,2018-01-27,Ward 6,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate272,Species1,2019-12-17,Ward 6,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate273,Species1,2020-01-12,Ward 6,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate274,Species1,2019-11-20,Ward 6,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate275,Species1,2019-11-12,Ward 6,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate276,Species1,2019-12-20,Ward 6,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate277,Species2,2019-09-22,Ward 6,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate278,Species2,2019-12-17,Ward 6,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate279,Species2,2019-04-06,Ward 6,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate280,Species2,2019-09-02,Ward 6,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate281,Species2,2019-04-28,Ward 6,Others,NA,Sp2 NF,ResGeneB,NA
Isolate282,Species2,2019-11-20,Ward 6,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate283,Species2,2019-09-24,Ward 6,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate284,Species2,2019-09-28,Ward 6,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate285,Species2,2019-04-29,Ward 6,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate286,Species2,2019-05-01,Ward 6,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate287,Species1,2018-03-28,Ward 6,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate288,Species1,2018-08-05,Ward 6,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate289,Species1,2019-08-16,Ward 6,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate290,Species1,2018-01-27,Ward 6,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate291,Species1,2019-12-17,Ward 6,Others,NA,Sp1 ST 761,ResGeneD,NA
